,지점명,주소,전화번호
0,광주운남DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
1,광주선운DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
2,광주산정DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
3,광주흑석DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
4,광주송정역,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
5,광주수완DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
6,광주신가DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
7,광주쌍암,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
8,광주장덕,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
9,광주하남,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
10,광주첨단,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
11,광산수완,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
12,광주비아DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
13,광주월산DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
14,광주주월DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
15,광주효천DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
16,광주봉선로,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
17,광주서문대로,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
18,광주방림DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
19,광주봉선중앙,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
20,광주진월,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
21,광주봉선,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
22,봉선이마트,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
23,광주지산DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
24,광주동명,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
25,광주지원DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
26,광주지산유원지입구,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
27,광주황금,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
28,충장서림,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
29,충장일가,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
30,조선대,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
31,광주오치,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
32,광주연제DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
33,광주신안DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
34,광주매곡DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
35,광주두암타운,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
36,광주일곡,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
37,광주북구청,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
38,광주첨단신용,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
39,광주용두DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
40,전남대,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
41,광주용봉,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
42,동광주DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
43,광주신세계DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
44,광주상무DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
45,광주화정DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
46,광주상무중앙로,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
47,광주상무시민로,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
48,광주풍암,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
49,광주금호DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
50,광주상무대교,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
51,광주동림,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
52,신세계광주,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
53,광주상무,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
54,상무치평,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
55,상무역,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
56,신세계광주신관B1,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
57,서광주DT,['광주광역시 광산구 임방울대로 156 (운남동)1522-3232'],['광주광역시 광산구 선운로 20번길 63 1522-3232']
